year,pop_deciles,pop_decile,cases_ADI_decile,rate_ADI_decile,cases_claims_decile,rate_claims_decile,cases_crime_decile,rate_crime_decile,cases_health_decile,rate_health_decile
2013,1,4366277,5761104,1.319454537584308,4029805,0.9229384667990601,1466684,0.3359118077025347,264615,0.06060426308271326
2013,2,4364833,3632568,0.8322352768135688,2551580,0.5845767753313815,817908,0.18738586333085366,263080,0.06027263815133362
2013,3,4365293,2818958,0.6457660459446823,1902030,0.43571645706256146,654252,0.1498758502579323,262676,0.06017373862418857
2013,4,4365194,2264854,0.5188438360356951,1447830,0.33167598049479585,553094,0.12670547975645527,263930,0.060462375784443946
2013,5,4366332,1840928,0.42161887827128125,1122060,0.2569800006046265,455441,0.10430745989998012,263427,0.06033141776667464
2013,6,4365343,1520974,0.3484202730461272,880430,0.20168632797010452,377175,0.08640214526097949,263369,0.06033179981504317
2013,7,4365866,1275197,0.29208340338434574,703350,0.1611020585606613,310133,0.07103584947407914,261714,0.059945495349605325
2013,8,4364896,1075741,0.24645283644787871,562615,0.1288953963622501,255032,0.05842796712682272,258094,0.05912947295880589
2013,9,4365692,891184,0.20413350277573405,432290,0.09901981175034794,213575,0.0489212248596557,245319,0.056192466165730426
2013,10,4366853,666278,0.15257623739567144,287295,0.06578994071932351,162319,0.03717070393713734,216664,0.049615592739210596
2014,1,4401037,4789857,1.0883473599517568,3017865,0.6857167981091729,1474118,0.33494787705715723,297874,0.0676826847854267
2014,2,4401707,2942806,0.6685601744959399,1861420,0.42288593947757086,789147,0.1792820376276749,292239,0.06639219739069412
2014,3,4401117,2276577,0.5172725469466047,1345620,0.30574510970737656,646065,0.14679568845818006,284892,0.06473174878104808
2014,4,4400578,1830599,0.41599058123728294,1021450,0.2321172355086082,523955,0.11906504100143209,285194,0.06480830472724265
2014,5,4401250,1505913,0.34215575120704345,782010,0.17767906844646408,435238,0.09888963362681057,288665,0.06558704913376881
2014,6,4402256,1256222,0.28535868881773346,606305,0.13772597504552211,361122,0.08203112222460483,288795,0.0656015915476065
