year,pop_bins_p,Type,Lc
2013,0.83,crime,0.9415201990727385
2013,0.83,health,0.8490265669042112
2013,0.84,ADI,0.945786205547544
2013,0.84,claims,0.9619111182794231
2013,0.84,crime,0.9455453714505795
2013,0.84,health,0.8587051014324465
2013,0.85,ADI,0.9499343059564775
2013,0.85,claims,0.965024424745955
2013,0.85,crime,0.949688098992463
2013,0.85,health,0.8684843036449506
2013,0.86,ADI,0.9539945353517825
2013,0.86,claims,0.968112586242756
2013,0.86,crime,0.9536602860863493
2013,0.86,health,0.8780048133199734
2013,0.87,ADI,0.9579650544657742
2013,0.87,claims,0.9710071314726295
2013,0.87,crime,0.9578305507829763
2013,0.87,health,0.8874086577329949
2013,0.88,ADI,0.9618554274904121
2013,0.88,claims,0.9738812015128651
2013,0.88,crime,0.9617149988045076
2013,0.88,health,0.8968308408326856
2013,0.89,ADI,0.9656564580872739
2013,0.89,claims,0.9766629535928031
2013,0.89,crime,0.9655175950074568
2013,0.89,health,0.9061644519776128
2013,0.9,ADI,0.9693634101420715
2013,0.9,claims,0.9793599312033628
2013,0.9,crime,0.9691737695117358
2013,0.9,health,0.915460995564379
2013,0.91,ADI,0.9729848822312304
2013,0.91,claims,0.9819872213263828
2013,0.91,crime,0.9726829525831086
2013,0.91,health,0.9247126678965293
2013,0.92,ADI,0.976504918707587
2013,0.92,claims,0.9844503507184457
2013,0.92,crime,0.9762265096200575
2013,0.92,health,0.9339245413767594
2013,0.93,ADI,0.9799340493786356
2013,0.93,claims,0.9868261911441571
2013,0.93,crime,0.9796986599660856
2013,0.93,health,0.9429858035154092
2013,0.94,ADI,0.983269837214694
2013,0.94,claims,0.9891406060009548
2013,0.94,crime,0.9830534450594831
2013,0.94,health,0.951829732707789
2013,0.95,ADI,0.986486716394947
2013,0.95,claims,0.9913357618584575
2013,0.95,crime,0.9863436602727925
2013,0.95,health,0.9604450135940392
2013,0.96,ADI,0.9895742950569772
2013,0.96,claims,0.9933976493763867
2013,0.96,crime,0.9894433943398423
2013,0.96,health,0.9690782429821357
2013,0.97,ADI,0.99251767513254
2013,0.97,claims,0.9953309383348354
2013,0.97,crime,0.9924001251136383
2013,0.97,health,0.9774800927703434
2013,0.98,ADI,0.9953027862238483
2013,0.98,claims,0.9971690356221602
2013,0.98,crime,0.9952301849756144
2013,0.98,health,0.9853161745655682
2013,0.99,ADI,0.9978486545710906
2013,0.99,claims,0.9987754399741079
2013,0.99,crime,0.9977440423365712
2013,0.99,health,0.9930301285112733
2013,1,ADI,1
2013,1,claims,1
2013,1,crime,1
2013,1,health,1
2014,0.01,ADI,0.04747240386155
2014,0.01,claims,0.04203860589973788
2014,0.01,crime,0.07832493229560593
2014,0.01,health,0.010684892135222801
2014,0.02,ADI,0.08067866100358405
2014,0.02,claims,0.08031026845869987
2014,0.02,crime,0.11416048991143533
2014,0.02,health,0.021260057680790485
2014,0.03,ADI,0.1097910824537712
2014,0.03,claims,0.11538007936376497
2014,0.03,crime,0.14196052406860712
2014,0.03,health,0.031743902387225846
2014,0.04,ADI,0.136339015398097
2014,0.04,claims,0.14672008439237838
2014,0.04,crime,0.16790670212506403
2014,0.04,health,0.042484011774017026
2014,0.05,ADI,0.1610769444812301
2014,0.05,claims,0.17707895776215662
2014,0.05,crime,0.1896015809890941
2014,0.05,health,0.05291830253673717
2014,0.06,ADI,0.1844350387269364
2014,0.06,claims,0.20520356098097106
2014,0.06,crime,0.2108004977187889
2014,0.06,health,0.0633830335791681
2014,0.07,ADI,0.2066356126131699
2014,0.07,claims,0.23121333616381035
2014,0.07,crime,0.23192641569278064
2014,0.07,health,0.07409942786432414
2014,0.08,ADI,0.2277322069697543
2014,0.08,claims,0.25618326234557215
2014,0.08,crime,0.25138038890379877
2014,0.08,health,0.08451566683326231
2014,0.09,ADI,0.24794127413999134
2014,0.09,claims,0.28017105315324675
2014,0.09,crime,0.2696669675750848
2014,0.09,health,0.09488553746915267
2014,0.1,ADI,0.2674170161801616
2014,0.1,claims,0.30290771289929674
2014,0.1,crime,0.2877240100519677
2014,0.1,health,0.10543451021589946
2014,0.11,ADI,0.28620119382093046
2014,0.11,claims,0.3249533146943411
2014,0.11,crime,0.30480435259960476
2014,0.11,health,0.1158072125057164
2014,0.12,ADI,0.304412836310665
2014,0.12,claims,0.34601929040342827
2014,0.12,crime,0.32183687510674114
2014,0.12,health,0.1260914256103276
2014,0.13,ADI,0.32195982439054455
2014,0.13,claims,0.3658752873762231
2014,0.13,crime,0.3388420718764486
2014,0.13,health,0.13647828616977747
2014,0.14,ADI,0.3389993190991027
2014,0.14,claims,0.38551147070882874
2014,0.14,crime,0.35456315417083467
2014,0.14,health,0.14675152661542318
2014,0.15,ADI,0.35555800710647045
2014,0.15,claims,0.4042412991688736
2014,0.15,crime,0.37025534925708153
2014,0.15,health,0.15722510657637467
2014,0.16,ADI,0.3716371166694321
2014,0.16,claims,0.42259573812466844
2014,0.16,crime,0.38516505233366677
2014,0.16,health,0.16740100891829404
2014,0.17,ADI,0.38727729192157645
2014,0.17,claims,0.44031030860730996
2014,0.17,crime,0.3999035791836436
2014,0.17,health,0.17736099764831142
2014,0.18,ADI,0.40249271364577655
2014,0.18,claims,0.4571265539394067
2014,0.18,crime,0.4145394393344231
2014,0.18,health,0.1879821775701861
2014,0.19,ADI,0.41731475821988523
2014,0.19,claims,0.4736301419705038
2014,0.19,crime,0.428612779661844
2014,0.19,health,0.19823205687093745
2014,0.2,ADI,0.43171344501239534
2014,0.2,claims,0.4897412773380668
2014,0.2,crime,0.44175275087222776
2014,0.2,health,0.20887447419726152
2014,0.21,ADI,0.4457621344512406
2014,0.21,claims,0.5047955005452683
2014,0.21,crime,0.455904945470515
2014,0.21,health,0.21918948153832432
2014,0.22,ADI,0.4595274315520409
2014,0.22,claims,0.5196640364308488
2014,0.22,crime,0.46971654427013443
2014,0.22,health,0.2289802789462283
2014,0.23,ADI,0.47292838302674184
2014,0.23,claims,0.5341521642359193
2014,0.23,crime,0.4827314026398614
2014,0.23,health,0.23924750212728002
2014,0.24,ADI,0.48605107850995033
2014,0.24,claims,0.5486227270240797
2014,0.24,crime,0.495011979408105
2014,0.24,health,0.24914413260069007
2014,0.25,ADI,0.4988995377511422
2014,0.25,claims,0.5620278460722364
2014,0.25,crime,0.5083475248249445
2014,0.25,health,0.25914624218286536
2014,0.26,ADI,0.5114325583181905
2014,0.26,claims,0.5751353635481735
2014,0.26,crime,0.5210348647132017
2014,0.26,health,0.2693734682522041
2014,0.27,ADI,0.5236867645952079
2014,0.27,claims,0.5878880676825269
2014,0.27,crime,0.5334834947666334
2014,0.27,health,0.2795171605307086
2014,0.28,ADI,0.5356533912951432
2014,0.28,claims,0.600616682650832
2014,0.28,crime,0.545000317173738
2014,0.28,health,0.28961236073572033
2014,0.29,ADI,0.5473628098584803
2014,0.29,claims,0.612722492305268
2014,0.29,crime,0.5568637860785127
2014,0.29,health,0.2996445566408656
2014,0.3,ADI,0.558814406156827
2014,0.3,claims,0.6248032090784037
2014,0.3,crime,0.5678541976724327
2014,0.3,health,0.3097139180037973
2014,0.31,ADI,0.5700023738853849
2014,0.31,claims,0.6362947449986124
2014,0.31,crime,0.5790433064142289
2014,0.31,health,0.3198292937430359
2014,0.32,ADI,0.5809371532268204
2014,0.32,claims,0.6476979539766445
2014,0.32,crime,0.5895678141849855
2014,0.32,health,0.3298561802970688
2014,0.33,ADI,0.5917018190036336
2014,0.33,claims,0.6587222604470447
2014,0.33,crime,0.6002781369702589
2014,0.33,health,0.3398037805411574
2014,0.34,ADI,0.6022208892534454
2014,0.34,claims,0.6692667910269864
2014,0.34,crime,0.6108949666967575
2014,0.34,health,0.3500557835823537
2014,0.35,ADI,0.6125318258081762
2014,0.35,claims,0.6797867305832539
2014,0.35,crime,0.6209102398321419
2014,0.35,health,0.36016584997048
2014,0.36,ADI,0.6226423890175085
2014,0.36,claims,0.6899332880657755
2014,0.36,crime,0.6309563520140532
2014,0.36,health,0.3702663595266041
2014,0.37,ADI,0.6325314751966942
2014,0.37,claims,0.6996577832848287
2014,0.37,crime,0.6410612145314368
2014,0.37,health,0.38034456980805637
2014,0.38,ADI,0.6422015966891557
2014,0.38,claims,0.7091775205924731
2014,0.38,crime,0.6507624368702272
2014,0.38,health,0.39048861604330165
2014,0.39,ADI,0.6517199726389052
2014,0.39,claims,0.7183509761381754
2014,0.39,crime,0.6606633322760875
2014,0.39,health,0.4005296608669675
2014,0.4,ADI,0.6610164807495315
2014,0.4,claims,0.7273277034944848
2014,0.4,crime,0.67012174591943785
2014,0.4,health,0.41066025674606155
2014,0.41,ADI,0.6701685011984436
2014,0.41,claims,0.736077089346215
2014,0.41,crime,0.6795292165808671
2014,0.41,health,0.42076890730722455
2014,0.42,ADI,0.6791153469345279
2014,0.42,claims,0.7447692634285809
2014,0.42,crime,0.6882863346914876
2014,0.42,health,0.4309579060485544
2014,0.43,ADI,0.6879168675610907
2014,0.43,claims,0.7529194312748639
2014,0.43,crime,0.6974896430575548
2014,0.43,health,0.44132777668444473
2014,0.44,ADI,0.6965602222117511
2014,0.44,claims,0.761093688287195
2014,0.44,crime,0.7062375875277527
2014,0.44,health,0.4514357193321261
2014,0.45,ADI,0.705026875375037
2014,0.45,claims,0.7689407341273725
2014,0.45,crime,0.7149960719252446
2014,0.45,health,0.4615581742061812
2014,0.46,ADI,0.713343457891226
2014,0.46,claims,0.7768424824487842
2014,0.46,crime,0.7230109058969917
2014,0.46,health,0.47188486211969116
2014,0.47,ADI,0.7214999203866285
2014,0.47,claims,0.784377372845588
2014,0.47,crime,0.7313337399663308
2014,0.47,health,0.4819315702512102
2014,0.48,ADI,0.729512174369586
2014,0.48,claims,0.7917376167885428
2014,0.48,crime,0.7393442798936248
2014,0.48,health,0.49224622363553217
2014,0.49,ADI,0.7373749160039849
2014,0.49,claims,0.7989462997284449
2014,0.49,crime,0.7471756410569205
2014,0.49,health,0.5024723878346484
2014,0.5,ADI,0.7450913834213473
2014,0.5,claims,0.8058192399165511
2014,0.5,crime,0.755073169541562
2014,0.5,health,0.5128351793357223
2014,0.51,ADI,0.7526614091321115
2014,0.51,claims,0.8125090020711664
2014,0.51,crime,0.7628684216946837
2014,0.51,health,0.5231009866898108
2014,0.52,ADI,0.760119216836676
2014,0.52,claims,0.8191174632903693
2014,0.52,crime,0.7704665381706395
2014,0.52,health,0.5332995422631428
2014,0.53,ADI,0.7674097582991636
2014,0.53,claims,0.8255537873438533
2014,0.53,crime,0.7779116305169932
2014,0.53,health,0.5433221813362858
2014,0.54,ADI,0.7746219704767267
2014,0.54,claims,0.8318159668011144
2014,0.54,crime,0.7853303730451119
2014,0.54,health,0.5535101182073932
2014,0.55,ADI,0.7816799805980092
2014,0.55,claims,0.8379707487264109
2014,0.55,crime,0.792263888550028
2014,0.55,health,0.563979096730714
2014,0.56,ADI,0.7886190173007784
2014,0.56,claims,0.8440206424078728
2014,0.56,crime,0.7989983165393906
2014,0.56,health,0.5744247141091404
2014,0.57,ADI,0.795452703069369
2014,0.57,claims,0.8498808339067057
2014,0.57,crime,0.8058639080684119
2014,0.57,health,0.5846335344279564
2014,0.58,ADI,0.802156305278534
2014,0.58,claims,0.8557119176632304
2014,0.58,crime,0.8124205235806475
2014,0.58,health,0.5946805965162162
2014,0.59,ADI,0.8087553940013279
2014,0.59,claims,0.8612027419493254
2014,0.59,crime,0.8191611974528509
2014,0.59,health,0.6049311837304492
2014,0.6,ADI,0.815226074060311
2014,0.6,claims,0.8666749975032583
2014,0.6,crime,0.8255583477688048
2014,0.6,health,0.6150561163016901
2014,0.61,ADI,0.8215848710922173
2014,0.61,claims,0.8719941864812604
2014,0.61,crime,0.8319018225290946
2014,0.61,health,0.625108841697803
2014,0.62,ADI,0.8278517163548644
2014,0.62,claims,0.8771136361241134
2014,0.62,crime,0.838167418937712
2014,0.62,health,0.6354242029956066
2014,0.63,ADI,0.8340077951875112
2014,0.63,claims,0.8822235504720723
2014,0.63,crime,0.8440684119354918
2014,0.63,health,0.645732131201853
2014,0.64,ADI,0.8400862146934795
2014,0.64,claims,0.8871106400340861
2014,0.64,crime,0.8502526166833386
2014,0.64,health,0.6558198983153075
2014,0.65,ADI,0.8460404127746745
2014,0.65,claims,0.8920233243350261
2014,0.65,crime,0.8559338326786542
2014,0.65,health,0.6659419992326218
2014,0.66,ADI,0.851928787458203
2014,0.66,claims,0.8967919754973033
2014,0.66,crime,0.8617112743064874
2014,0.66,health,0.6759802124023611
2014,0.67,ADI,0.8577075123088079
2014,0.67,claims,0.9014507198394859
2014,0.67,crime,0.8673345207016859
2014,0.67,health,0.6859904629895752
2014,0.68,ADI,0.8633879207868168
2014,0.68,claims,0.9058861375380972
2014,0.68,crime,0.8728619318320443
2014,0.68,health,0.6963387422642754
2014,0.69,ADI,0.868965993142754
2014,0.69,claims,0.9103170385180747
2014,0.69,crime,0.8782587649742601
2014,0.69,health,0.7062909439459947
2014,0.7,ADI,0.8744548493922697
2014,0.7,claims,0.9146089249356493
2014,0.7,crime,0.883517407958621
2014,0.7,health,0.7164183542144213
2014,0.71,ADI,0.8798698985750212
2014,0.71,claims,0.9187698265128372
2014,0.71,crime,0.8888022055773782
2014,0.71,health,0.7264923170149837
2014,0.72,ADI,0.8852042736189871
2014,0.72,claims,0.9228634791681408
2014,0.72,crime,0.8939035303876839
2014,0.72,health,0.7366246826777818
2014,0.73,ADI,0.8904490417475548
2014,0.73,claims,0.9269380612336564
2014,0.73,crime,0.8988414863249323
2014,0.73,health,0.7465524613443844
2014,0.74,ADI,0.8956114608417222
2014,0.74,claims,0.9308174206826568
2014,0.74,crime,0.9038237489935833
2014,0.74,health,0.7565662514990068
2014,0.75,ADI,0.900677685097739
2014,0.75,claims,0.9345928956030748
2014,0.75,crime,0.9086278088174299
2014,0.75,health,0.7666596819203144
2014,0.76,ADI,0.9056793700427277
2014,0.76,claims,0.9383402664964365
2014,0.76,crime,0.9131800814892527
2014,0.76,health,0.7768996504323228
2014,0.77,ADI,0.9105870375138654
2014,0.77,claims,0.9418899054851533
2014,0.77,crime,0.9178763998340937
2014,0.77,health,0.7869796304974791
2014,0.78,ADI,0.9154220703451692
2014,0.78,claims,0.9453903624265217
2014,0.78,crime,0.9223947105179691
2014,0.78,health,0.7970953601934586
2014,0.79,ADI,0.9201690036671282
2014,0.79,claims,0.9487462843716015
2014,0.79,crime,0.9269555712786981
2014,0.79,health,0.8070850812897051
2014,0.8,ADI,0.9248372168951857
2014,0.8,claims,0.9521012026014292
2014,0.8,crime,0.9312853343743138
2014,0.8,health,0.8169983477299338
2014,0.81,ADI,0.9294405000032381
2014,0.81,claims,0.9554240019431928
2014,0.81,crime,0.9354062507624369
2014,0.81,health,0.8269919623503293
2014,0.82,ADI,0.9339668495727118
2014,0.82,claims,0.9586173220174475
2014,0.82,crime,0.9395761582940932
2014,0.82,health,0.836865585635586
2014,0.83,ADI,0.9384349127747862
2014,0.83,claims,0.9617464043155741
2014,0.83,crime,0.9437507502378804
2014,0.83,health,0.8465877154357703
2014,0.84,ADI,0.9428026497295267
2014,0.84,claims,0.964756044498712
2014,0.84,crime,0.9478179910703394
2014,0.84,health,0.8562896697017277
2014,0.85,ADI,0.9470961888085262
2014,0.85,claims,0.9676542722888772
2014,0.85,crime,0.951911972088711
2014,0.85,health,0.8658656153679521
