lc_p,lc_L,lc_g,lc_p_claims,lc_L_claims,lc_g_claims,lc_p_crime,lc_L_crime,lc_g_crime,lc_p_health,lc_L_health,lc_g_health,pop_bins,cases_group_claims,cases_group_crime,cases_group_health,cases_group,pop_group,year
0.2,0.09242002119468141,1622499.6611160492,0.2,0.06248302442354007,484250,0.2,0.08268716456139003,497340.7579088501,0.2,0.15774852004934914,598006.2985603994,2,1436030,906613.6548290836,411597.5659155221,2754241.2207446056,4498046,2017
0.3,0.1457790318043814,2559255.3068365473,0.3,0.09988058226307901,774085,0.3,0.13316349526638677,800942.1294450907,0.3,0.25963027270470973,984228.1773914567,3,1027620,731895.926454744,398782.8711513152,2158298.797606059,4496598,2017
0.4,0.20744817104420749,3641901.2121773954,0.4,0.1455154478552226,1127760,0.4,0.18934120417344338,1138835.7369187754,0.4,0.3627928399083603,1375305.4752586202,4,774600,599024.0064977319,394226.4501229764,1767850.4566207083,4499322,2017
0.5,0.27932462086923276,4903743.765076956,0.5,0.20439852105229542,1584110,0.5,0.25731745375088966,1547694.3507553695,0.5,0.46678612429502453,1769531.9253815967,5,589470,493141.723492132,396671.5964576636,1479283.3199497955,4498043,2017
0.6,0.36358682385093205,6383027.085026752,0.6,0.28045813572848366,2173579.9999999995,0.6,0.3393064928433879,2040836.0742475013,0.6,0.5714144819547176,2166165.8644445627,6,456350,408858.61383659404,396633.9390629658,1261842.55289956,4498223,2017
0.7,0.4642862449882699,8150877.541647459,0.7,0.38040516870416596,2948180,0.7,0.43889936918387673,2639860.080745233,0.7,0.6760527732861741,2562837.460902226,7,353675,337893.60747368477,391077.29786716367,1082645.9053408485,4497123,2017
0.8,0.58722619092453,10309176.339253519,0.8,0.5129995012970792,3975800,0.8,0.5605833412899109,3371756.007199977,0.8,0.781247999317387,2961620.332053541,8,274630,275903.7668894408,386221.8788310573,936755.6457204982,4499136,2017
0.9,0.744111913674937,13063417.559998125,0.9,0.6982911844420172,5411830,0.9,0.7113156335429318,4278369.6620290615,0.9,0.8898236230781962,3373217.8979690634,9,209620,221436.99101940924,363250.48836779635,794307.4793872056,4497266,2017
1,1,17555716.176457886,1,1,7750105,1,1,6014727.443454731,1,1,3790883.7330031535,10,289835,303601.37153624056,234755.8101926031,828192.1817288436,4498951,2017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
0.1,0.04562198671831682,872165.0034788805,0.1,0.026777328487230526,237635,0.1,0.037160086781377624,224768.74463846663,0.1,0.06717837274361271,281750.2931665593,1,2694785,1753084.7243804135,455394.7413027252,4903264.465683138,4523428,2018
0.2,0.09483761977398392,1813030.4909956164,0.2,0.06218332669445044,551845,0.2,0.0828977451311568,501420.3065808584,0.2,0.16487869551133527,691511.5520069732,2,1631305,920864.7022897007,440545.26571152586,2992714.9680012264,4522542,2018
0.3,0.14816375738749613,2832477.3485900736,0.3,0.10391476237776051,922190,0.3,0.13063892684744868,790190.5009310349,0.3,0.2670672768262283,1120096.8476590381,3,1168085,733722.0782677314,434029.1080382998,2335836.186306031,4521998,2018
0.4,0.20970174294979985,4008911.81040805,0.4,0.1489297688823633,1321675,0.4,0.18680450342388052,1129916.9986987088,0.4,0.3704484228981202,1553683.8344236123,4,874475,603047.8225558355,433586.9867645739,1911109.8093204093,4523383,2018
0.5,0.2810777836967478,5373422.418214988,0.5,0.20705145143633688,1837475,0.5,0.25468479830650115,1540501.8489499635,0.5,0.47393498496582315,1987712.9424619118,5,668360,497439.20373359014,435060.8174789164,1600860.0212125066,4523014,2018
0.6,0.3648170008567148,6974282.439427496,0.6,0.2823639906991786,2505835,0.6,0.33692436417199517,2037941.0526835534,0.6,0.577667539896873,2422773.7599408287,6,515800,410584.8502512548,438125.757555684,1364510.607806939,4522034,2018
0.7,0.464785041296636,8885392.248747906,0.7,0.3809021030516137,3380310,0.7,0.43662376613084103,2640988.875239389,0.7,0.6819156204256657,2859996.7239911314,7,399485,339726.4977676737,437222.9640503029,1176434.4618179766,4523564,2018
0.8,0.5869700487697064,11221228.435053935,0.8,0.5125249521521531,4548395.000000001,0.8,0.55792700224446,3374710.9535071203,0.8,0.7863789560937997,3298122.4815468155,8,314210,276651.5619423918,428585.29565206537,1019446.8575944572,4523081,2018
